1,002+Cyber,506,506,849125115,3035,0
2,16Dec24,526,478,8924501,9949,0
3,Barbarian+village,520,496,0,808,5
4,Regiglio2,504,511,849255745,3831,0
5,Llandudno,485,498,87485,1158,0
6,004+%7C+K54,483,504,849190998,10437,0
7,Barbarian+village,499,492,849020140,6579,0
8,007,493,504,3323530,5890,0
9,Fish+04,548,512,849271683,6895,0
10,Old44%27s+village,575,516,11364013,2256,0
11,village,516,511,849189495,635,0
12,Elsanta,506,474,9645987,2613,7
13,slobux,499,528,849011693,9910,0
14,Smurfs+gonna+give+it+to+ya,481,495,849242659,1350,0
15,002+BLT+sandwich,485,525,849198028,5345,3
16,G023,524,524,9344606,7632,0
17,002,518,503,849260394,4852,0
18,002,520,486,849229356,6438,1
19,024.+Varus,527,517,849264323,5677,0
20,Turtle+WPAG,514,499,849271683,1550,0
21,G001,520,521,9344606,9340,0
22,Barbarian+village,540,479,0,655,0
23,0006+-+BuN+BuN,485,443,849270712,7633,8
24,%5B%7B015%7D%5DPhishing+SMS,525,583,849185742,2050,0
25,Barbarian+village,472,465,0,979,0
26,TP-A+14,526,537,849268653,4134,0
27,What+the+Duck%3F+017,477,483,849222864,1669,0
28,Bump,528,532,11501661,653,0
29,Unchained,465,533,849271626,1789,0
30,096,524,536,849276367,6912,0
31,Noo+Queen,518,482,849275999,4862,5
32,Bravado,531,534,10651230,6886,0
33,%5B017%5D+C%C2%B2+Property,467,475,849262461,2722,0
34,x001,476,499,11584473,5524,5
35,K55+Thalassa,503,580,849200142,3532,0
36,Barbarian+village,496,546,0,914,0
37,090,521,536,849276367,9753,0
38,Barbarian+village,511,482,0,1067,0
39,019,533,526,849000516,6882,0
40,Barbarian+village,554,525,0,786,0
41,C5-DA,515,523,849262873,7160,0
42,Barbarian+village,547,474,0,793,0
43,kere%27s+village,538,533,10651230,7130,0
44,Barbarian+village,459,463,0,735,0
45,Unchained,447,529,849271626,10244,2
46,G039,522,524,9344606,7619,0
47,Cleaner,502,466,9645987,2966,0
48,C009+Clay+Bonus,541,516,848999278,6914,2
49,Kalm,531,512,9093935,846,0
50,020,504,543,11572922,3344,0
51,Princess+Fairy+Kiss+Roses+II,535,537,849273173,8157,0
52,village,515,578,9319347,3845,0
53,Barbarian+village,529,515,848901653,983,0
54,Homer,485,511,849256132,10387,1
55,Rushing+You+021%3F,514,580,11400011,4448,0
56,Barbarian+village,468,545,0,1001,0
57,G002,519,517,9344606,9083,4
58,ALFA,557,559,11445551,9868,0
59,Ukdevil%27s+village,512,578,849009859,6851,0
60,019+Centurion01s+Sleepy+Room,494,535,10681230,6666,0
61,Noble,474,458,8274126,7656,1
62,pepk%27s+village,568,524,9979858,3731,0
63,G028,527,521,9344606,2815,0
64,011,548,482,11593398,3570,3
65,Barbarian+village,488,485,0,451,0
66,-005-,572,539,636272,6685,0
67,bridge+05,496,475,794996,2602,0
68,010+Buggy+The+Clown,430,550,10246232,10471,0
69,Barbarian+village,544,486,0,614,0
70,004+Edoras,469,582,11532214,7225,0
71,010+-+RG,489,528,849255578,5635,0
72,005+DZ,496,512,9028150,9760,3
74,Barbarian+village,464,494,0,1020,0
75,%7E+xXx+%7E+0001,530,488,10599613,4400,0
76,Barbarian+village,525,458,0,812,0
77,WannaPlayAGame.+015,511,488,11363810,7169,0
78,Barbarian+village,459,461,0,1049,0
79,036.+Noble+betrayer,521,473,11578392,6334,0
81,High+Voltage,446,495,849217373,1967,0
82,030,515,494,849000516,6795,0
83,013+-+RG,484,534,849255578,4710,0
85,What+the+Duck%3F+022,474,475,849222864,2610,0
86,005,576,461,11458076,9449,0
87,012-barb,510,514,11311968,2647,0
88,005%7CPain,418,519,9345308,5155,0
89,020+Barbarian+village,462,529,849271519,4680,0
90,004,522,487,849229356,5322,0
91,PP+FARM,525,480,849109980,1211,0
92,Barbarian+village,528,450,0,895,0
93,A003+wood+bonus,539,506,848999278,8580,1
94,Berlin,513,479,849253035,7343,0
95,Noble,469,449,8274126,4958,4
96,014,496,585,849275013,9552,0
97,Bama+Beth%27s+Secret+Cabbage+Moth,472,509,11238726,2342,0
98,WannaPlayAGame.+030,510,495,11363810,2209,0
99,011+Ur+Mums+Bedroom,489,533,10681230,2157,0
100,Bygone%27s+village,519,477,849093045,2591,0
101,020+dead+man+walking,447,483,7962549,9115,0
102,G024,526,521,9344606,8688,0
103,Barbarian+village,516,476,0,631,0
104,Octavia,500,474,9645987,3222,1
105,House+of+Jokers+012,528,517,849271910,7434,0
106,Barbarian+village,536,463,0,835,0
107,G031,529,524,9344606,6462,0
108,030,512,546,11572922,3017,6
109,Hope%23C1+-+Village+of+Origin,522,523,849275342,8665,0
110,100,522,551,849276367,2065,0
111,006.+Publius,523,506,849264323,8614,0
112,013+WP,518,466,849268707,2699,0
113,Christmas+Cottage,515,531,849253468,3328,0
114,Barbarian+village,517,498,0,941,0
