24949,FeudalKnight,0,1,814,2066
69313,DarkF%40rce,278,1,847,2048
70886,coni,185,2,6640,839
87485,DrDeath,888,2,1705,1652
89157,GreyDragoon,350,27,111891,138
89185,Rincewinds,263,1,1625,1686
95142,vikings55,879,12,76149,206
122003,peewee,386,6,16214,523
138692,Rojam117,29,5,11113,640
151892,demon+5577,0,1,2447,1440
198577,orsamannen,26,1,1658,1670
208525,ABAGAR,747,4,4333,1064
229111,Kawamura,0,1,269,2528
231394,KoE-CaShMaN,0,1,962,1970
232867,Muffassa,2,1,1867,1609
237612,Lord+Jeev,0,1,162,2665
241332,Peterale,318,1,1707,1651
250592,arjay52,263,2,3412,1197
267865,Sir+King+Arthur,25,1,163,2662
273875,cidella01,17,18,92452,168
306834,smithythefitter,53,10,75387,210
322742,sami+protiv+svih,130,1,817,2064
330019,kirby-graf,775,2,4895,1000
350372,dandan347,38,0,0,3087
365110,Nightmare1967,10,2,3916,1121
370411,AcidBurn,15,1,641,2177
378504,rrtt99,622,1,894,2006
405972,Doomed356,891,1,2050,1551
410642,CABOKING,377,4,4971,985
421454,Radu-Marius,0,1,2502,1425
445112,Daredevil+MephistO,0,1,308,2484
448825,MaJeSTee,237,1,813,2068
458418,rand4747,310,1,3696,1154
476462,WeAreAnonymous,404,10,56255,264
476788,lilryan19,242,26,139053,97
498234,Richardk,445,1,552,2246
505287,captain+black,734,1,1634,1689
508964,eedi,0,6,18159,490
509263,Bluecool,0,0,0,3088
560786,Krissy,10,1,263,2537
561464,Slacker,23,1,1042,1928
561810,Graf+Gonzo,560,12,47611,297
568199,joehor,888,1,3039,1284
568827,nielon,617,1,3135,1253
578878,dirtydogman,389,5,12654,594
609123,lord+t-gg-a,846,2,9336,702
615592,DrEvil1,58,2,12472,601
617633,Raptor+Of+Hades,846,3,4905,993
636272,s%280%29niK,879,18,81721,187
669261,Dhraga,925,1,98,2787
734242,Noobie1,370,10,37614,353
743599,mariny,0,1,36,2896
794257,gazw,381,13,71995,216
794996,chelsea+shed,17,10,45812,302
802302,ksbr,0,0,0,3089
803518,fatman26,328,1,1012,1941
818554,Dord,0,1,430,2341
824913,zytech,0,1,1488,1727
836739,dethrokk,0,1,5849,891
865637,The+Gas,269,1,742,2111
885487,Dads+Army,617,2,4772,1012
889400,Back+Line+Trash,0,1,36,2897
921182,Oldtimer,26,2,5941,886
981725,hunto,0,1,415,2358
987964,Predsjednik,25,1,2600,1393
1019339,suhrim,53,17,76466,203
1028510,yorgolb,53,22,125292,111
1040322,gilad8,0,5,20142,463
1047404,cocodelish,58,3,8407,755
1049489,TClark,0,3,11662,628
1070506,Golgotha,0,1,58,2854
1084192,krazykat69,643,1,237,2565
1118017,sandcroch,0,1,1187,1872
1140108,kennyboy68,0,1,97,2794
1147355,medooo,0,1,934,1991
1160381,DaPinkMaster,328,1,1066,1917
1179819,Eccy01,373,24,109695,143
1191124,boomerknight,880,1,628,2187
1214642,Lord+of+the+pies,89,18,99535,156
1218186,travelerdwyer170,963,4,17248,509
1266205,biff+bonzai,617,1,3296,1218
1340513,I-AM-GROOT,237,1,4021,1105
1359579,getitfred,775,1,2087,1545
1374202,pogo777,281,1,3856,1130
1377103,dean69,0,1,511,2275
1388540,King+Koopa,97,1,2715,1366
1416395,the+great+storm,0,1,538,2255
1427030,Ming+Emperor,0,0,0,3090
1481875,Qurbin,0,0,0,3091
1502423,Benny930,206,1,4936,990
1504759,crystalball,304,0,0,3092
1523499,13th+Krieger,389,1,57,2865
1525355,mastolol,12,1,3221,1233
1647171,Evil-Git,41,6,33007,374
1647829,clisch,0,1,207,2609
1687559,kirkthewineman,17,18,76030,207
1696013,Mr.Obvious,0,1,315,2487
1704209,World+Winner,763,3,8203,757
1707285,wolf22,38,1,1013,1940
1728551,heroic+legend,0,2,951,1977
1743971,janemotanu,66,1,3133,1254
1804063,queslett,461,0,0,3093
1821987,Willo12345,591,1,1400,1758
1822842,ianharding,0,1,36,2898
1823858,quaestor,133,3,11964,619
1895765,mjayk24,545,20,68309,225
1902556,pluta,727,1,708,2141
1905964,jack307,0,1,6292,865
2017933,slough316,281,1,1962,1582
2020285,Jdog.,230,6,25566,423
2024771,jimbo634,26,1,1686,1659
2034188,Chili+Mac,545,17,65227,238
2093130,Solidussdad,0,0,0,3094
2101409,Narnia624,0,1,271,2521
2124068,forzafcb1990,166,3,7732,783
2126790,gus10,0,0,0,3095
2188026,morgie666,0,6,13454,572
2202754,smakaho,0,1,98,2788
2235393,Tito10,80,1,865,2032
2307938,Mixamatosis,0,6,19504,471
2327672,Hells+Toy+Master,0,1,1344,1783
2330233,ic3princ3,0,1,407,2364
2356576,jontoh,237,1,70,2828
2365031,zanozano,731,6,13028,580
2379810,stuten,0,1,3167,1243
2444873,amsiiii,599,5,13465,573
2471016,dukefan7777777,98,22,66959,231
2472169,Duellona,462,1,4000,1108
2486044,Scarfac3DaGreat,0,1,309,2482
2489357,Asroc,0,1,560,2241
2492628,PyroKing51,0,1,194,2623
2514862,derek1608,690,1,2902,1323
2529286,sage69,0,0,0,3096
2624751,billadi66,0,1,874,2021
2632667,docileone,954,1,443,2329
2641078,kjpker,53,16,76283,221
2660422,gigiplete,350,34,259495,25
2676083,viper38,95,2,6042,879
2690692,Zgobituary,127,1,130,2705
2704876,anvilsmith,166,1,3277,1231
2735260,returnofthelord,0,2,4086,1094
2747774,thebarkingdog,66,5,7991,767
2764142,Sgt%40Arms,146,0,0,3097
2774316,rohan321,0,1,260,2538
2859033,referee6,97,1,872,2030
2893239,yniets22,350,39,169935,61
2900891,kinggong,768,0,0,3098
2915775,shaggey69,10,1,6131,876
2941010,ASHOKA1,893,10,32686,375
2948330,yamagoya,0,1,1280,1827
2977707,Cold+Summers,0,1,2351,1468
3016894,hellsjester,206,1,3395,1200
3027108,Black.Heart,55,1,3079,1272
3035194,knightmoves,0,1,566,2237
3048355,nobz22,711,4,13034,581
3090165,jlarry,0,1,1235,1854
3122010,little+jac,545,14,65721,237
3145312,MsFix,0,1,3385,1202
3148926,astronigel,0,1,976,1960
3161762,harry.t.wells,0,1,2555,1406
3183912,mikec911,0,1,2872,1334
3205922,Killer+Instinct.,98,12,29212,395
3245174,Henrycoffin,26,2,4594,1031
3293146,Deathdeala,370,11,68222,227
3296113,webbldr,230,4,8427,742
3305093,sriram+s,0,1,95,2798
3323530,KILLER1014,65,16,77220,200
3327682,Old+Bloke,714,3,7209,809
3361700,anningg,0,1,1530,1710
3374204,YeOlde+Raven,419,1,2922,1315
3376911,optimizer2,53,6,25557,424
3405514,YOU+MAD+BRO%3F%3F%3F,413,24,89546,171
3410710,bigsteveslk,0,1,385,2386
3420041,Jackparadise,34,1,1516,1717
3451386,mc368,199,1,2601,1390
3456477,cafrat,61,4,12264,610
3482098,swb04073,0,0,0,3099
3490628,richscalia,919,1,682,2153
3524218,loudhomer,0,0,0,3100
3542945,Greg+Stephens,622,1,854,2044
3546131,craighutchy,142,1,3424,1194
3558804,Reven,0,1,2776,1350
3560634,mfk731,731,1,5106,974
3572923,Queen+B,0,1,1164,1881
3577074,Bossman06,26,1,2477,1431
3580873,koopa8,0,1,7778,779
3600688,Tiger+of+Summer,0,1,202,2617
3610753,valtheran88,0,1,2735,1361
3625959,rifel156,802,9,30696,381
3628448,mabey,370,11,81543,189
3653011,Churchill,560,4,18407,487
3653541,Muslehuddin,321,1,707,2138
3694843,jreggo,0,0,0,3101
3696964,charshaun,373,32,184386,52
3755211,Lord+Blackwolf,222,2,6330,860
3778961,SlowGo,540,1,1258,1845
3826500,bramley3,218,1,1255,1848
3834751,Z+Mageman2,0,0,0,3102
3836611,ITM1886,60,3,9093,725
3850849,pigeonlee,0,0,0,3103
3854052,Black+Death2,622,3,4712,1019
3861322,bloatedcherub,328,1,1967,1579
3863769,filphillip,545,12,57953,255
3916550,Snuff1997,88,1,2347,1470
3948489,pushdtempo,953,1,5226,956
3956610,Sir+Romit,302,1,6328,862
3969476,latchky,0,1,734,2121
3984013,Shadow+Mauler,65,11,45743,303
3993680,Pengie650,0,1,36,2899
4001680,zebidee2008,788,1,2354,1478
4028460,paparucino,386,4,8672,733
4060085,jus031,373,16,95861,164
4073873,panthers291,0,1,898,2004
4076241,svmsa,897,1,3136,1252
4103061,antonthemeff,0,1,555,2245
4117311,eddy67,0,1,366,2412
4136278,Sir+Anthony+Raymond,269,1,908,2016
4160578,dazeb,750,2,5267,951
4184131,michael+king13,245,1,3286,1220
4188200,Monkey.D+Luffy,0,1,236,2567
4202832,vrgoles,0,1,185,2633
4212562,SteveP,0,1,1321,1795
4213549,lykorz,0,1,403,2368
4215573,RONNY+HO,166,1,2310,1480
4227564,rron7pam,921,1,380,2402
4247612,mikeWhite,58,4,11388,634
4254801,prince+ramesh2,23,2,4986,981
4267769,passive,729,1,4393,1052
4277306,793387,0,1,232,2570
4291569,bullfrogs,861,1,1366,1788
4313753,VecchioUnno,462,1,2668,1375
4338748,hoxa,953,1,608,2203
4354089,ganlah,0,0,0,3104
4359228,jeromevalletta,0,1,124,2714
4404387,billall,0,1,818,2063
4414750,ehcetra,14,1,230,2572
4417220,Godsmith2,0,1,874,2022
4426809,ASPIS,0,1,975,1961
4443559,DUNMAGLASS,34,1,2212,1515
4448372,Dingle93,0,1,813,2069
4448391,Tuff+Muff,381,14,66194,234
4483134,lamigra,26,1,1466,1734
4483907,WOODBUG,219,30,110437,142
4520686,13118jake,133,2,5127,969
4521436,General+Goo,304,6,21120,456
4523624,Chuunks,711,1,2868,1327
4535491,jobemist,0,6,27139,412
4552852,franky22,473,1,261,2530
4570326,Lion66,0,1,87,2809
4641481,lustre-online,48,1,9217,709
4648719,tony2,0,1,481,2299
4671523,BlueRock,0,1,189,2629
4671802,benny300,0,0,0,3105
4694019,nursewendy,220,1,1430,1748
4702944,Doctor.PHIBES,6,1,4039,1101
4703119,nugget0008,599,6,14472,545
4706527,paulusbassius2,0,1,227,2588
4738829,ThePuppeteer,65,46,228177,34
4744174,zebra90,17,10,54736,268
4761399,--UltraEgo--,88,1,244,2556
4771461,edprokofiev,731,3,9525,688
4790399,plumspotter,0,1,361,2421
4835134,Schtev,0,1,584,2219
4842334,bp2009,220,1,4351,1061
4904468,Robdudda,0,1,4021,1106
4925818,Al+Ghouti,0,1,353,2432
4943400,DonNorman,310,1,4642,1026
7465891,pgsean,0,1,3073,1274
7486189,Amantis,0,0,0,3106
7518706,Djnoely,185,7,18535,486
7520758,bozwell118,389,3,6853,829
7569019,FadeStars,173,1,67,2836
7587840,lordjer61,25,1,209,2606
7594607,Sapphire+Jim,133,2,6210,872
